airline_id,name,code_type,iata_code,icao_code,country,region,status,active,website,wikidata_id,notes
8D,"Servant Air, Inc.",iata,8D,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
8E,Bering Air,iata,8E,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
8I,Insel Air Aruba,iata,8I,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
8L,Lucky Air Co. Ltd.,iata,8L,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
8M,Myanmar Airways International,iata,8M,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
8P,Pacific Coastal Airlines Limited,iata,8P,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
8Q,Onur Air,iata,8Q,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
8R,TRIP Linhas Aéreas S.A.,iata,8R,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
8T,Air Tindi Ltd,iata,8T,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
8U,Afriqiyah Airways,iata,8U,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
8V,Wright Air Service,iata,8V,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
9C,Spring Airlines,iata,9C,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
9E,Pinnacle Airlines,iata,9E,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
9H,Dutch Antilles Express,iata,9H,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
9J,Dana Airlines Ltd,iata,9J,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
9K,Cape Air,iata,9K,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
9M,Central Mountain Air Ltd.,iata,9M,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
9Q,Caicos Express Airways,iata,9Q,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
9R,Satena,iata,9R,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
9U,Air Moldova,iata,9U,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
9V,Avior Airlines,iata,9V,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
9W,Jet Airways (India) Ltd,iata,9W,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
9Y,Fly Georgia,iata,9Y,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
A2,Astra Airlines,iata,A2,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
A3,Aegean Airlines,iata,A3,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
A4,Aerocon,iata,A4,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
A5,HOP!,iata,A5,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
A9,Georgian Airways,iata,A9,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AA,American Airlines,iata,AA,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AB,Air Berlin,iata,AB,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
ABJ,Abaeté Linhas Aéreas,legacy_or_icao_like,,ABJ,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AC,Air Canada,iata,AC,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AD,Azul Airlines,iata,AD,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AE,Mandarin Airlines,iata,AE,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AF,Air France,iata,AF,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AH,Air Algerie,iata,AH,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AI,Air India,iata,AI,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AK,AirAsia,iata,AK,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AM,Aeromexico,iata,AM,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AP,Air One,iata,AP,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AR,Aerolineas Argentinas,iata,AR,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AS,Alaska Airlines,iata,AS,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AT,Royal Air Maroc,iata,AT,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AV,Avianca,iata,AV,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AW,Africa World Airlines Limited,iata,AW,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AY,Finnair,iata,AY,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
AZ,Alitalia - Compagnia Aerea Italiana Spa,iata,AZ,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
B2,Belavia,iata,B2,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
B6,Jetblue Airways Corporation,iata,B6,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
B7,UNI Airways,iata,B7,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
B9,Iran Air Tours,iata,B9,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BA,British Airways,iata,BA,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BB,Seaborne Airlines,iata,BB,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BC,Skymark Airlines,iata,BC,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BE,Flybe,iata,BE,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BF,Vincent Aviation,iata,BF,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BG,Biman Bangladesh Airlines,iata,BG,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BH,Hawkair,iata,BH,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BI,Royal Brunei Airlines,iata,BI,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BK,Okay Airways,iata,BK,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BL,Jetstar Pacific Airlines,iata,BL,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BM,BMI Regional,iata,BM,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BP,Air Botswana,iata,BP,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BR,EVA Airways,iata,BR,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BT,Air Baltic Corporation,iata,BT,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BV,Blue Panorama Airlines,iata,BV,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BW,Caribbean Airlines,iata,BW,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
BX,Air Busan,iata,BX,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
C7,Rico Linhas Aéreas,iata,C7,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
C8,CRONOSAIR,iata,C8,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
CA,Air China,iata,CA,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
CC,CM Airlines,iata,CC,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
CE,Chalair,iata,CE,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
CG,Airlines Of Papua New Guinea,iata,CG,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
CH,Bemidji Airlines,iata,CH,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
CI,China Airlines,iata,CI,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
CM,COPA Airlines,iata,CM,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
CN,Grand China Air,iata,CN,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
CU,Cubana,iata,CU,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
CX,Cathay Pacific Airways,iata,CX,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
CY,Cyprus Airways,iata,CY,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
CZ,China Southern Airlines,iata,CZ,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
D2,Severstal Aircompany,iata,D2,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
D3,Daallo Airlines,iata,D3,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
D6,Inter Air,iata,D6,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
D7,AirAsia X,iata,D7,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
D9,DONAVIA,iata,D9,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
DC,Braathens Regional AB,iata,DC,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
DD,Nok Air,iata,DD,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
DE,Condor Flugdienst,iata,DE,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
DG,SEAIR - South East Asian Airlines,iata,DG,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
DL,Delta Air Lines,iata,DL,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
DN,Senegal Airlines,iata,DN,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
DT,TAAG Angola Airlines,iata,DT,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
DV,Air Company Scat,iata,DV,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
DX,Danish Air Transport,iata,DX,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
DY,Norwegian Air Shuttle,iata,DY,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
E5,Air Arabia Egypt,iata,E5,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
E8,City Airways,iata,E8,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
EA,East Horizon Airlines,iata,EA,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
EB,Pullmantur Air,iata,EB,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
EF,Eznis Airways,iata,EF,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
EI,Aer Lingus,iata,EI,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
EK,Emirates,iata,EK,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
EN,Air Dolomiti,iata,EN,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
EP,Iran Aseman Airlines,iata,EP,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
EQ,TAME Linea Aerea del Ecuador,iata,EQ,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
ET,Ethiopian Airlines,iata,ET,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
EU,Chengdu Airlines,iata,EU,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
EY,Etihad Airways,iata,EY,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
F5,Fly540 S.A,iata,F5,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
F7,Darwin Airline,iata,F7,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
F9,Frontier Airlines Inc.,iata,F9,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FB,Bulgaria Air,iata,FB,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FD,Thai AirAsia,iata,FD,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FE,Far Eastern Air Transport,iata,FE,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FG,Ariana Afghan Airlines,iata,FG,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FI,Icelandair,iata,FI,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FJ,Fiji Airways,iata,FJ,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FL,AirTran Airways,iata,FL,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FM,Shanghai Airlines,iata,FM,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FO,Felix Airways,iata,FO,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FQ,Brindabella Airlines,iata,FQ,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FR,Ryanair,iata,FR,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FS,Syphax Airlines,iata,FS,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FV,Rossiya Airlines,iata,FV,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FW,IBEX Airlines,iata,FW,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FY,Firefly,iata,FY,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
FZ,flydubai,iata,FZ,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
G3,VARIG-GOL Airlines/VRG Linhas Aereas SA,iata,G3,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
G4,Allegiant Air LLC,iata,G4,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
G5,China Express Airlines,iata,G5,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
G8,Go Air,iata,G8,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
G9,Air Arabia,iata,G9,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
GA,Garuda Indonesia,iata,GA,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
GE,Transasia Airways,iata,GE,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
GF,Gulf Air,iata,GF,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
GK,Jetstar Japan,iata,GK,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
GL,Air Greenland,iata,GL,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
GQ,Sky Express S.A.,iata,GQ,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
GR,Aurigny Air Services,iata,GR,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
GS,TianJin Airlines,iata,GS,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
GV,"Grant Aviation, Inc.",iata,GV,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
GZ,Air Rarotonga,iata,GZ,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
H2,Sky Airline,iata,H2,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
H7,Eagle Air,iata,H7,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
HA,Hawaiian Airlines,iata,HA,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
HD,Hokkaido International Airlines,iata,HD,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
HF,Air Cote d,iata,HF,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
HG,NIKI,iata,HG,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
HI,Papillon Airways,iata,HI,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
HM,Air Seychelles,iata,HM,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
HO,Juneyao Airlines,iata,HO,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
HR,Hahn Air,iata,HR,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
HS,DirektFlyg,iata,HS,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
HU,Hainan Airlines,iata,HU,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
HV,transavia.com,iata,HV,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
